Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology
7,314,2367,4,212,238,7,4,0,0,11,1913,5
7,314,1234,3,283,198,5,5,0,0,20,1929,5
7,314,2033,3,361,187,7,5,0,0,23,1931,5
9,314,1167,3,450,160,8,5,0,0,19,1945,5
9,314,3158,3,524,170,9,5,0,0,22,1935,5
7,314,27153,4,603,177,11,5,0,0,22,1919,5
7,314,9453,4,711,207,12,4,0,0,14,1936,5
6,314,27072,4,792,235,11,5,0,0,14,1951,5
6,313,16010,4,872,259,9,4,0,0,18,1985,5
7,313,1815,3,979,252,10,4,0,1,14,2019,5
7,313,4289,3,1060,182,8,5,0,0,23,2037,5
7,313,5154,3,1140,191,10,5,0,0,27,2038,5
7,313,14726,4,1248,227,9,4,0,0,19,2061,5
7,313,1366,2,1331,242,8,4,0,1,27,2095,5
7,313,1619,3,1415,239,9,4,3,-3,39,2116,5
7,313,579,2,1527,145,9,5,0,0,25,2158,5
7,313,3086,3,1612,206,10,5,0,-1,24,2147,5
7,313,798,2,1698,195,11,5,0,0,17,2166,5
7,314,1618,4,0,245,10,5,0,0,2,1862,5
7,314,18686,4,67,255,9,5,1,0,19,1869,5
7,314,836,3,161,177,10,5,1,0,12,1888,5
7,314,1328,3,234,214,6,5,0,0,9,1899,5
7,314,2368,3,300,172,8,5,0,0,7,1899,5
6,314,2718,3,402,238,7,5,0,0,11,1916,5
6,314,7814,4,483,117,11,5,0,0,19,1906,5
7,314,44367,5,563,198,10,5,-1,0,11,1900,5
7,314,34548,4,670,252,12,4,0,0,19,1934,5
6,314,1679,3,751,261,10,4,0,0,14,1956,5
6,313,3659,3,831,254,9,5,0,0,19,1983,5
7,313,2177,3,939,194,10,5,-1,0,15,2001,5
7,313,2325,3,1020,203,10,5,-1,0,12,2010,5
7,313,2940,4,1103,197,9,5,-1,0,13,2010,5
7,313,14741,4,1214,255,9,4,-1,0,25,2052,5
7,313,2827,3,1299,255,9,5,0,0,18,2083,5
7,313,1859,3,1385,259,10,5,1,0,31,2110,5
7,313,423,3,1499,114,10,5,0,0,20,2135,5
7,313,4522,3,1584,223,9,5,0,0,20,2124,5
7,312,1236,3,1669,200,9,5,-1,0,14,2144,5
7,312,38,3,1784,151,8,5,-1,0,19,2144,5
7,314,1141,3,108,126,7,5,0,0,10,1858,5
7,314,3360,4,42,257,7,5,0,0,6,1854,5
7,314,645,4,30,246,7,2,0,0,11,1868,5
7,314,1460,3,108,190,10,4,0,0,14,1869,5
7,314,785,3,174,193,9,5,0,1,16,1885,5
7,314,1809,3,256,175,8,5,0,0,16,1881,5
6,314,2084,3,362,205,8,5,0,0,23,1891,5
6,314,1345,3,442,148,10,5,-1,1,23,1888,5
7,314,15109,5,523,306,16,4,1,0,10,1881,5
7,314,1696,3,630,245,9,4,0,1,18,1926,5
6,313,2208,3,711,191,9,5,0,0,24,1933,5
6,313,3006,3,792,210,9,5,0,0,28,1946,5
7,313,3637,3,902,198,11,5,0,0,18,1961,5
7,313,1999,4,986,265,12,4,0,-1,9,1974,5
7,313,19770,4,1072,288,9,4,0,0,15,1992,5
7,313,5993,3,1186,254,9,4,-1,0,25,2039,5
7,313,2156,3,1271,263,10,4,0,0,22,2072,5
7,313,713,2,1356,272,9,4,0,0,22,2108,5
7,313,392,2,1471,95,10,5,0,0,21,2119,5
7,313,5263,4,1557,148,10,5,0,0,11,2094,5
7,312,2180,3,1644,198,9,5,0,0,23,2103,5
7,312,944,3,1760,168,9,5,0,0,22,2109,5
7,315,672,2,276,125,9,5,0,1,26,1895,5
7,314,1778,3,174,133,7,5,0,0,10,1838,5
7,314,399,4,108,287,8,4,0,0,12,1859,5
7,314,224,4,42,84,7,5,0,0,7,1863,5
7,314,6701,4,42,232,9,5,0,0,14,1840,5
7,314,667,3,123,174,12,4,0,0,10,1850,5
7,314,6141,4,201,225,11,5,0,0,14,1849,5
7,314,165,3,308,152,9,5,0,0,16,1871,5
7,314,79423,5,390,150,12,5,0,-1,10,1850,5
7,314,748,3,469,203,10,5,0,0,20,1863,5
7,313,2681,3,579,209,11,5,0,0,22,1885,5
7,313,9320,4,664,213,10,5,0,0,17,1891,5
7,313,4885,4,750,229,9,5,0,0,17,1915,5
7,313,2733,3,863,228,9,5,0,0,16,1939,5
7,313,4850,3,948,238,9,5,0,0,20,1962,5
7,313,5427,3,1034,231,8,5,0,0,17,1985,5
7,313,4579,3,1149,260,9,4,0,0,27,2020,5
7,313,977,2,1236,274,9,4,-1,1,25,2076,5
7,313,458,2,1324,229,13,4,0,0,17,2105,5
7,313,797,3,1441,127,10,5,0,0,19,2092,5
7,312,1433,3,1529,135,10,5,0,0,16,2074,5
7,312,9576,4,1618,200,9,5,0,0,12,2055,5
7,312,1074,3,1736,227,9,4,0,0,15,2082,5
7,312,1124,3,1824,136,8,5,0,0,18,2063,5
7,312,1294,3,1913,118,11,5,1,0,10,2040,5
7,315,1354,2,402,158,11,5,0,0,27,1860,5
7,314,1699,2,324,163,9,5,0,0,28,1851,5
7,314,1050,3,234,173,8,5,0,0,2,1831,5
7,314,214,3,161,257,8,4,0,-1,12,1860,5
7,314,311,3,84,97,8,5,0,0,17,1852,5
7,314,9303,4,0,130,7,5,0,0,4,1823,5
7,314,2950,4,84,186,13,4,0,0,9,1827,5
7,314,6635,4,161,222,12,4,0,0,13,1835,5
7,314,427,3,268,133,10,5,0,0,15,1845,5
7,314,69573,5,351,183,11,5,0,0,12,1831,5
7,314,15843,5,436,247,11,4,0,0,9,1847,5
7,313,68539,5,551,309,10,4,0,0,16,1875,5
7,313,52537,5,635,339,10,4,0,0,17,1896,5
7,313,47478,5,721,313,11,4,0,0,12,1900,5
7,313,8298,4,836,261,10,4,0,0,16,1920,5
7,313,9604,4,924,251,8,5,0,0,21,1949,5
7,313,4311,3,1012,283,8,4,0,1,25,1992,5
7,313,2724,3,1129,284,12,4,0,0,20,2035,5
7,313,737,3,1218,228,12,4,0,0,17,2061,5
7,313,1240,3,1306,232,12,4,0,0,16,2085,5
7,313,623,3,1425,87,9,5,0,0,18,2083,5
7,312,3591,4,1514,110,11,5,0,0,15,2052,5
7,312,8612,4,1603,215,9,5,0,-1,13,2035,5
7,312,299,3,1722,160,9,5,0,0,21,2059,5
7,312,2700,3,1812,145,10,5,0,-1,24,2025,5
7,312,1565,3,1901,167,11,5,0,0,23,2017,5
7,315,584,2,524,162,12,5,0,0,20,1855,5
7,315,2124,3,450,144,12,5,0,0,22,1826,5
7,314,2884,3,381,225,11,4,0,0,8,1820,5
7,314,2406,2,283,327,11,4,2,0,41,1850,5
7,314,479,2,201,35,10,4,0,1,20,1890,5
7,314,1052,2,123,85,9,5,0,0,24,1850,5
7,314,1805,3,30,125,7,5,0,0,18,1819,5
7,314,12580,4,42,206,11,5,0,0,11,1809,5
7,314,1027,4,123,221,14,4,0,0,9,1817,5
7,314,426,3,241,147,13,4,0,0,15,1832,5
7,314,12755,4,323,284,10,4,1,0,14,1825,5
7,314,4676,4,408,301,14,4,0,0,12,1852,5
7,313,15571,4,523,258,7,5,0,0,18,1866,5
7,313,965,4,611,239,9,5,0,0,16,1896,5
7,313,494,3,700,296,9,4,0,1,13,1921,5
7,313,1749,3,818,336,9,4,0,-1,13,1924,5
7,313,2357,3,907,265,8,4,0,0,18,1946,5
7,313,1149,3,997,243,8,5,0,0,26,1984,5
7,313,3650,3,1116,219,11,4,0,0,19,2021,5
7,313,1733,3,1205,266,13,4,0,0,23,2053,5
7,313,482,3,1295,243,13,4,0,0,1,2079,5
7,312,407,3,1415,132,13,4,0,0,14,2076,5
7,312,1482,3,1504,77,11,4,0,0,18,2049,5
7,312,2760,4,1594,152,9,5,0,-1,5,2021,5
7,312,1068,3,1714,166,9,5,0,0,17,2029,5
7,312,974,3,1803,114,10,5,0,1,21,2006,5
7,312,4226,3,1893,157,11,5,0,0,18,1981,5
7,312,2241,3,2013,154,10,5,0,0,14,1971,5
7,315,1049,2,524,123,11,5,0,0,23,1807,5
7,314,3190,3,450,262,13,5,0,0,12,1800,5
7,314,2439,2,381,275,12,4,0,-1,38,1850,5
7,314,801,3,296,270,12,4,0,0,21,1908,5
7,314,1589,2,241,98,12,5,1,0,37,1883,5
9,314,1683,2,174,95,8,5,0,0,25,1840,5
9,314,2402,3,60,102,8,5,0,0,13,1798,5
7,314,2144,5,0,270,13,4,0,0,7,1797,5
7,314,533,5,90,212,12,4,0,0,4,1805,5
7,314,82057,5,210,294,8,4,1,0,18,1812,5
7,314,3665,3,300,308,9,4,0,0,13,1842,5
7,313,4306,3,390,306,8,4,0,0,11,1858,5
7,313,3568,3,510,280,9,4,0,0,14,1883,5
7,313,1377,3,600,337,9,4,0,0,13,1902,5
7,313,8891,4,690,267,9,4,0,0,10,1908,5
7,313,1134,3,810,265,7,2,0,0,12,1953,5
7,313,867,3,900,340,10,4,0,0,14,1960,5
7,313,15251,4,990,304,8,4,0,0,18,1973,5
7,313,4223,3,1110,286,10,4,0,0,20,2014,5
7,313,1859,3,1200,276,9,4,-1,0,24,2050,5
7,313,323,3,1290,163,8,5,0,0,4,2066,5
7,312,1661,4,1410,150,13,4,0,0,9,2049,5
7,312,255,3,1500,143,10,5,0,1,11,2054,5
7,312,641,3,1590,91,12,4,0,0,23,2026,5
7,312,9648,4,1710,150,9,5,0,0,12,1993,5
7,312,897,4,1800,125,11,5,0,0,11,1982,5
7,312,479,4,1890,343,10,4,0,0,5,1973,5
7,312,684,3,2010,58,11,4,0,0,18,1960,5
7,312,15795,4,2100,80,10,4,0,0,5,1937,5
7,315,806,2,582,177,12,4,0,0,23,1806,5
7,315,1381,2,483,152,10,5,0,0,13,1787,5
7,314,1771,3,402,268,13,4,0,0,19,1800,5
7,314,2054,2,324,239,12,4,0,0,33,1836,5
7,314,1163,2,234,201,11,4,0,1,20,1898,5
7,314,2394,2,169,104,11,5,-2,2,38,1878,5
9,314,2669,2,123,120,9,5,0,0,30,1814,5
9,314,1231,4,60,180,10,5,0,0,8,1787,5
7,314,24387,5,30,315,13,4,0,0,13,1800,5
7,314,37146,5,94,336,9,4,0,0,14,1812,5
7,314,10533,4,212,316,9,4,0,0,18,1835,5
7,313,2211,3,301,333,11,4,0,0,13,1852,5
7,313,1296,3,391,303,8,2,0,0,18,1879,5
7,313,5616,3,510,340,7,4,0,0,24,1895,5
7,313,1284,3,600,331,5,2,0,0,19,1918,5
7,313,2540,3,690,347,8,4,1,0,27,1927,5
7,313,10179,3,810,312,9,4,1,-1,23,1949,5
7,313,1070,2,900,298,5,4,0,1,24,2000,5
7,313,1588,3,990,5,7,4,0,0,22,2007,5
7,313,3050,3,1110,325,6,4,0,0,29,2029,5
7,313,702,3,1200,285,6,4,-1,0,19,2058,5
7,312,199,3,1290,135,12,5,0,0,12,2054,5
7,312,380,3,1410,122,9,5,0,0,17,2039,5
7,312,1127,3,1500,173,9,5,0,0,18,2022,5
7,312,424,3,1590,133,10,5,0,1,21,2020,5
7,312,7025,4,1710,20,13,5,0,0,8,1988,5
7,312,708,4,1800,33,13,4,0,0,11,1983,5
7,312,2362,4,1890,346,11,4,0,0,12,1979,5
7,312,672,3,2010,66,10,5,0,0,18,1967,5
7,312,2914,4,2100,21,10,4,0,0,9,1958,5
7,315,409,3,573,194,12,4,0,1,14,1784,5
7,315,1607,3,510,158,12,5,0,0,12,1775,5
7,314,20715,4,442,260,13,4,0,0,22,1784,5
7,314,177,3,362,288,12,4,0,1,11,1813,5
7,314,840,2,283,295,12,4,0,0,29,1838,5
7,314,532,3,174,169,13,5,-1,0,25,1859,5
7,314,2228,2,108,131,12,5,-1,1,38,1842,5
7,314,2418,2,42,117,10,5,0,0,20,1788,5
7,314,44929,5,0,285,11,4,1,0,21,1783,5
9,314,2579,3,42,315,14,4,0,0,10,1806,5
9,314,2493,3,123,341,15,4,0,0,14,1822,5
6,314,5685,3,241,308,13,4,0,0,21,1852,5
6,313,8231,4,323,305,11,4,0,0,12,1863,5
6,313,1931,3,408,287,8,4,0,0,24,1902,5
6,313,1296,3,523,320,6,4,0,0,13,1933,5
7,313,2587,2,611,303,8,4,0,1,31,1962,5
