Soil texture,Rainfall,SPI,TWI,Distance to river,Aspect,NDVI,Land cover,Profile curvature,Plan curvature,Slope,Altitude,Lithology,Longitude,Latitude
7,319,1262,4,445,338,14,3,0,0,6,1983,13,52.95414075590,28.63807941140
9,289,539,3,547,5,9,2,0,0,23,1045,1,53.55497782170,28.59263372940
9,310,375,3,1036,34,15,1,0,0,17,893,1,53.11545098890,28.57726320090
9,327,213,6,874,261,11,5,0,0,1,940,9,53.12858708290,28.73497236690
7,321,364,4,882,239,11,5,0,0,1,1109,9,53.02720516530,28.67151112470
7,319,48,5,256,161,13,6,0,0,2,1008,9,53.04986227030,28.65581772090
7,315,7998,3,502,20,13,4,0,-2,29,1499,3,53.36636870760,28.73254851080
7,303,110,5,0,189,7,6,0,0,2,945,1,53.33790449250,28.60912675980
9,277,2374,3,814,120,12,5,0,-1,14,1021,2,53.52972679720,28.35148988990
7,312,18210,3,342,203,13,5,0,0,15,1127,3,53.23530138150,28.65198029200
7,262,0,5,403,68,8,4,0,0,5,1439,1,53.89749482680,28.46865917840
7,299,1241,3,1502,298,12,5,0,0,21,1142,2,53.21024177250,28.48251505950
9,300,3526,4,1382,130,12,4,0,0,4,1291,3,53.45051925710,28.64370014510
7,270,2337,3,1230,129,14,5,1,-1,22,1848,5,53.73036966320,28.40828677070
7,309,6216,3,123,317,15,4,1,-1,26,1591,3,53.20736901420,28.59926284350
7,271,1494,3,1462,211,9,5,0,0,24,1483,10,53.65996926520,28.35380964040
9,298,681,5,597,255,8,5,0,0,1,1042,1,53.32475066060,28.51426491700
7,291,65,6,1499,153,9,6,0,0,1,1008,9,53.49577241540,28.56549058080
7,274,520,3,2446,209,12,5,0,0,10,1336,2,53.78695444570,28.61137647480
7,284,732,3,1023,95,12,4,0,0,17,1853,3,53.71119347290,28.69104640180
7,258,355,2,450,120,10,5,-1,1,23,1603,9,53.99325958160,28.48652400260
9,305,1464,3,966,111,11,5,0,0,10,1112,3,53.36222276830,28.63486288110
9,282,111,6,3330,288,-11,2,0,0,0,1085,9,53.63842681480,28.55697902330
7,317,6950,5,60,210,15,4,0,0,14,1724,8,52.97620364990,28.61447855860
7,342,5156,3,1786,109,9,5,0,0,26,1832,9,52.93154115590,28.86455211210
7,315,589,5,394,81,13,4,0,0,6,1364,1,53.37649951720,28.74043402010
4,335,694,4,1426,3,9,4,0,0,9,2692,8,52.93706924810,28.79418999150
7,266,4687,3,848,58,11,5,0,0,32,2256,5,53.77849193380,28.38867442320
7,256,283,3,30,209,8,5,0,0,13,1260,3,53.99360354360,28.40482673850
9,306,575,3,458,126,8,5,0,0,9,1270,3,53.53234544560,28.78477208330
7,333,79,5,618,40,8,5,0,0,4,1177,9,53.05834048060,28.77567668210
7,269,426,2,4162,315,9,4,0,0,0,1575,12,53.78741872990,28.49286550560
9,255,5361,4,1260,160,10,5,0,0,8,1172,3,54.00054822970,28.36276606320
7,280,95,5,1291,348,17,3,0,0,1,1096,1,53.72011344080,28.62609325810
9,300,76,6,362,354,15,3,0,0,4,968,2,53.21130163310,28.49594446750
7,278,6784,2,1084,249,9,4,1,-2,55,2193,3,53.61858164770,28.45453093110
7,332,1202,4,381,135,14,4,0,0,11,1430,2,52.83261461840,28.77164493530
9,312,3089,4,700,106,12,5,0,0,12,946,8,53.10762735900,28.59796982110
7,278,2691,3,201,272,12,4,0,0,23,1653,5,53.59576922140,28.43890938000
9,304,503,3,1047,227,11,4,0,0,17,1427,3,53.55045613680,28.78707923180
